year,owner,severity,harvest_area,analysis_area,harvest_rate
1993,Federal,High,0.0,0.0,0.0
1993,Other,Very low,0.0,0.0,0.0
1993,Other,Low,0.0,0.0,0.0
1993,Other,Moderate,0.0,0.0,0.0
1993,Other,High,0.0,0.0,0.0
1993,Private,Very low,0.0,0.0,0.0
1993,Private,Low,0.0,0.0,0.0
1993,Private,Moderate,0.0,0.0,0.0
1993,Private,High,0.0,0.0,0.0
1994,Federal,Very low,216.77380909404678,3258.4544816467287,0.0665265727402445
1994,Federal,Low,38.25159162623985,969.7698903168084,0.03944398770077679
1994,Federal,Moderate,456.62434782355814,7193.420724226147,0.06347805381182967
1994,Federal,High,2257.4211374113675,14084.023463088668,0.1602824039116098
1994,Other,Very low,3.043135516716452,86.70152237438725,0.035098985962159227
1994,Other,Low,2.002386633300781,41.968925218601605,0.04771117256091363
1994,Other,Moderate,34.965393812662754,418.23396576952183,0.0836024729563244
1994,Other,High,105.50150083007813,737.2140940551039,0.14310836116786488
1994,Private,Very low,85.3073096468817,1149.9541929204247,0.07418322414237664
1994,Private,Low,36.61836070614086,323.21832543837604,0.11329295966271696
1994,Private,Moderate,349.96391172449455,2127.3545266972083,0.1645066242286497
1994,Private,High,1043.864769221359,3302.1816298030603,0.3161136746083874
1995,Federal,Very low,0.0663939392089843,42.084432560771866,0.0015776365551111657
1995,Federal,Low,0.0,5.491765815980201,0.0
1995,Federal,Moderate,9.16269154663086,45.78541498788871,0.20012249641189453
1995,Federal,High,35.453395581054686,137.758391967941,0.2573592437788136
1995,Other,Very low,0.0,1.3853312292959175,0.0
1995,Other,Low,0.0,0.3195869906795726,0.0
1995,Other,Moderate,0.0,5.250532824419808,0.0
1995,Other,High,0.0,0.5617630310058592,0.0
1995,Private,Very low,6.763191381596584,237.03444133154773,0.028532526090319043
1995,Private,Low,2.318395057349112,32.30411416379443,0.07176779544530912
1995,Private,Moderate,15.584522031082454,183.75359924931547,0.08481206406159965
1995,Private,High,51.003892864990235,341.5656652098891,0.1493238286513628
1996,Federal,Very low,9.50438363956227,3586.827176782866,0.002649802505424039
1996,Federal,Low,10.264683675656787,1634.6475889487822,0.006279447475438944
1996,Federal,Moderate,271.79150321076037,8052.219607828002,0.03375361284813159
1996,Federal,High,1368.7311421632057,20815.4087679565,0.0657556696301947
1996,Other,Very low,0.3484827941894531,217.54434922071272,0.001601893110245281
1996,Other,Low,0.418172314453125,173.8660577801394,0.0024051405995638357
1996,Other,Moderate,7.894983222081801,637.0313744692335,0.012393397779912805
1996,Other,High,8.613023577880861,322.7754850129969,0.02668425570651392
1996,Private,Very low,48.69665814031863,775.7668549213726,0.0627722850382081
1996,Private,Low,30.301796627508423,464.58959064639816,0.06522271965962169
1996,Private,Moderate,367.8969787747492,3590.976200898317,0.10245040852198248
1996,Private,High,1050.5418855510638,6653.44538262499,0.15789441787475716
1997,Federal,Very low,0.0,91.41284840616866,0.0
1997,Federal,Low,0.0,30.24591740083583,0.0
1997,Federal,Moderate,0.1096662937059589,122.51758219501572,0.000895106577694286
1997,Federal,High,4.30785966796875,48.73654522501627,0.08839074760181284
1997,Other,Very low,0.0,0.0,0.0
1997,Other,Low,0.0,0.0,0.0
1997,Other,Moderate,0.0,0.0,0.0
1997,Other,High,0.0,0.0,0.0
1997,Private,Very low,0.0,36.615466211224735,0.0
1997,Private,Low,0.0,14.693823284912105,0.0
1997,Private,Moderate,0.5201507209329044,92.08490990995517,0.005648598901182957
1997,Private,High,7.296790835391774,124.05037541264551,0.0588211910775721
1998,Federal,Very low,19.98358546920477,223.5578689580939,0.08938887082051541
1998,Federal,Low,3.617943570341223,51.00861849212048,0.07092808386684893
1998,Federal,Moderate,30.74189326552449,310.37779675757315,0.09904668950767785
1998,Federal,High,120.35059556863222,424.81069774339863,0.28330406039192646
1998,Other,Very low,0.358119873046875,18.678530341653264,0.019172807843894708
1998,Other,Low,0.1193745483398437,10.71535031419941,0.011140517560275648
1998,Other,Moderate,1.1487522155761718,75.48121621230182,0.015219047509053648
1998,Other,High,6.3094619812011725,104.72081047748641,0.06025031655534812
1998,Private,Very low,51.980096218692545,418.1406791279635,0.12431245945048339
1998,Private,Low,19.69777943720799,155.65986593197093,0.12654372608682987
1998,Private,Moderate,110.27831104228898,1099.0217520903466,0.10034224603156298
1998,Private,High,136.03098013305666,1909.1463403955077,0.07125225408591562
1999,Federal,Very low,66.73946271596873,10483.279396396507,0.006366277210822938
1999,Federal,Low,19.3464554273179,2316.4533327614936,0.008351757038962048
1999,Federal,Moderate,180.9872927625948,5715.794489320093,0.03166441569947412
1999,Federal,High,387.0268059268966,4181.11946103463,0.09256535469357904
1999,Other,Very low,8.008467150878907,693.0344834665336,0.011555654649132092
1999,Other,Low,3.325101251220703,143.78883763387043,0.023124891374999564
1999,Other,Moderate,23.31332857570274,465.3868778396666,0.0500945120840613
1999,Other,High,33.135564794921876,290.1513791187002,0.11420095570652516
1999,Private,Very low,288.4170859481273,3951.0109966479504,0.07299829997760604
1999,Private,Low,116.13196749035407,1137.5238123691931,0.10209190016732805
1999,Private,Moderate,479.4468679767923,4943.505174919793,0.09698520604554059
1999,Private,High,237.44403099015778,2579.0113576983044,0.09206785006254099
2000,Federal,Very low,133.5678198418352,7509.002494844544,0.017787691498776147
2000,Federal,Low,13.511040017568552,1487.6889687982775,0.009081898367830524
2000,Federal,Moderate,87.44211937880573,7402.989890932977,0.011811730215369192
