ecoregion,year,harvest_area,analysis_area
Eastern Cascades,2012,6680.740768160975,49554.25655341735
Eastern Cascades,2013,2377.3776335687858,19675.867777554697
Eastern Cascades,2014,11887.759243447075,104475.10744183634
Eastern Cascades,2015,1784.8099652332023,42144.79676787576
Eastern Cascades,2016,0.5406147338867188,1628.2037169091318
Eastern Cascades,2017,722.8283424866441,21537.529574017997
Klamath Mountains,1987,7292.017308538986,54979.025285309224
Klamath Mountains,1988,302.8654244252164,1637.6776257000133
Klamath Mountains,1989,5.414244341131472,2241.8022984055697
Klamath Mountains,1990,111.71170021235447,2452.181364423445
Klamath Mountains,1991,82.5684833779249,439.750614783768
Klamath Mountains,1992,731.0294851672603,6662.281639411405
Klamath Mountains,1994,423.68268757542035,4428.710991411971
Klamath Mountains,1996,1613.9529511973662,31111.988200307456
Klamath Mountains,1999,908.4603824106254,16132.202908942107
Klamath Mountains,2000,187.6674067404833,1707.0841501925127
Klamath Mountains,2001,805.7352314680751,6630.961068619241
Klamath Mountains,2002,226.98199355890011,4025.4614169510182
Klamath Mountains,2003,35.157804155776084,3387.7774846446814
Klamath Mountains,2004,891.8122641992427,8322.23748917818
Klamath Mountains,2005,238.55917297973636,2237.5910461686917
Klamath Mountains,2006,214.20324100528495,14150.344781803107
Klamath Mountains,2007,185.35473133789066,8358.423853079523
Klamath Mountains,2008,3262.1782114500998,112681.49808729737
Klamath Mountains,2009,46.006510030469705,424.1449078655886
Klamath Mountains,2010,1.4598648742675782,3198.9717580644656
Klamath Mountains,2011,22.41946395345052,418.79634248628497
Klamath Mountains,2012,4205.574585279829,51349.43516144898
Klamath Mountains,2013,3859.0017146900373,48327.22874384177
Klamath Mountains,2014,3961.578558674939,31337.292906136892
Klamath Mountains,2015,3233.3422585790295,70735.39935077683
Klamath Mountains,2016,1296.3609157349829,14639.385829345563
Klamath Mountains,2017,5274.523081961814,66526.27722211154
Sierra Nevada,1986,32.97893074953566,827.5573884016926
Sierra Nevada,1987,10587.528101752978,71288.01039118518
Sierra Nevada,1988,855.6339352016794,12475.813822201522
Sierra Nevada,1989,991.773003056545,9914.326827531286
Sierra Nevada,1990,1198.1181638605576,12024.239862020167
Sierra Nevada,1992,675.7098351780792,7738.852715288062
Sierra Nevada,1994,2332.9237187165386,15059.877898552964
Sierra Nevada,1995,4.258466357421875,324.75188147044463
Sierra Nevada,1996,297.6526615184829,5237.816441725093
Sierra Nevada,1997,12.234467517999388,271.15528351263305
Sierra Nevada,1998,16.02274422554764,134.99404155515185
Sierra Nevada,1999,455.5133379504395,7745.903031669539
Sierra Nevada,2000,585.4671855756932,11318.071102253849
Sierra Nevada,2001,2791.726711242245,30975.967726958486
Sierra Nevada,2002,2005.7128031006816,41783.400790605934
Sierra Nevada,2003,4.884651442416322,893.2701361526069
Sierra Nevada,2004,292.0779053805722,4112.223810653938
Sierra Nevada,2005,69.0448317751417,790.8336119436946
Sierra Nevada,2006,382.4828969528617,8947.096246280493
Sierra Nevada,2007,6820.023514055655,34383.88630620473
Sierra Nevada,2008,4451.070867359117,75111.39768187831
Sierra Nevada,2009,234.97623838948567,6616.183412482147
Sierra Nevada,2010,216.25738346081306,7119.568813440061
Sierra Nevada,2011,378.57980775390627,4345.561262030436
Sierra Nevada,2012,3360.099742222039,33341.5286998877
