year,owner,severity,harvest_area,analysis_area
1999,usfs,Low,13.346927125315947,1937.7107300597904
1999,usfs,Moderate,125.5173048353487,4892.852930335335
1999,usfs,High,264.696446899797,3112.0296706736854
2000,blm,Very low,0.3567352404067095,1249.6357744178933
2000,blm,Low,0.2006738190774356,202.70776631680363
2000,blm,Moderate,1.9302568030503215,1194.3622447851799
2000,blm,High,400.50860631670776,6177.312396381549
2000,nonfed_public,Very low,160.63705628590307,1106.657623081988
2000,nonfed_public,Low,35.82019557073855,402.70992308572215
2000,nonfed_public,Moderate,168.98767654019224,2654.662663073443
2000,nonfed_public,High,88.05335519409181,1887.0107703694664
2000,other_fed,Very low,0.0,0.0
2000,other_fed,Low,0.0,0.0
2000,other_fed,Moderate,0.0,0.0
2000,other_fed,High,0.0,0.0
2000,private,Very low,111.1274592552993,1011.2809219540585
2000,private,Low,45.123017134052354,337.4871623892272
2000,private,Moderate,327.6410855654728,2211.8382755910598
2000,private,High,620.7717453787532,3472.2004623238117
2000,tribal,Very low,0.0,0.0
2000,tribal,Low,0.0,0.0
2000,tribal,Moderate,0.0,0.0
2000,tribal,High,0.0,0.0
2000,usfs,Very low,133.21108460142847,6259.366720426651
2000,usfs,Low,13.310366198491117,1284.981202481474
2000,usfs,Moderate,85.5118625757554,6208.627646147797
2000,usfs,High,86.4990333982221,3722.745478463901
2001,blm,Very low,0.2837510711550245,559.8017330405321
2001,blm,Low,0.8930311446605009,300.282024272437
2001,blm,Moderate,16.22124743259804,1810.0068173029642
2001,blm,High,177.77406238551717,5415.062812133311
2001,nonfed_public,Very low,62.585486726505046,251.27639065283682
2001,nonfed_public,Low,18.57171528272442,113.94954331875671
2001,nonfed_public,Moderate,141.68512766151576,869.6202565194404
2001,nonfed_public,High,249.54386445077938,1514.4159738004557
2001,other_fed,Very low,0.0,43.458246973924815
2001,other_fed,Low,0.0,30.94561356553021
2001,other_fed,Moderate,0.0697682434082031,113.15998196198107
2001,other_fed,High,0.1395364868164062,30.013907586669923
2001,private,Very low,91.11422240545535,1444.653438961756
2001,private,Low,80.56851765072095,675.3391976153923
2001,private,Moderate,681.4963644125546,4190.695894655881
2001,private,High,1315.3499133773266,7248.112146657859
2001,tribal,Very low,0.0,312.2560485233561
2001,tribal,Low,0.0,55.20785943155926
2001,tribal,Moderate,0.0,234.27999224633317
2001,tribal,High,0.0,345.0753387390137
2001,usfs,Very low,47.73592223812328,5127.4370037308745
2001,usfs,Low,35.630402735021256,2268.2131107132495
2001,usfs,Moderate,342.13870581217446,11434.974951761906
2001,usfs,High,1365.0949741881846,19957.05088026499
2002,blm,Very low,47.1102601997166,2062.1180966189395
2002,blm,Low,4.919836758386949,761.6520818349322
2002,blm,Moderate,21.473054669907512,2498.3460947349877
2002,blm,High,137.50172300424612,3215.0692924202954
2002,nonfed_public,Very low,6.235872236328126,47.81887725971296
2002,nonfed_public,Low,0.1406312072753906,11.351188767760036
2002,nonfed_public,Moderate,1.8282448181152344,106.67313474827188
2002,nonfed_public,High,28.911486895751956,409.87197032585595
2002,other_fed,Very low,0.0,0.0
2002,other_fed,Low,0.0,0.0
2002,other_fed,Moderate,0.0,0.0
2002,other_fed,High,0.0,0.1403335083007812
2002,private,Very low,364.6465435479617,2377.546960946907
2002,private,Low,211.74357315070657,1065.8963657507566
2002,private,Moderate,1098.5410168745452,5959.398200411593
2002,private,High,1294.4620498135914,8672.852516073333
2002,tribal,Very low,0.0,42.91968982740215
2002,tribal,Low,0.0,18.47865788818359
2002,tribal,Moderate,0.0,174.08037090176455
2002,tribal,High,3.4577980957031254,255.8211342654718
2002,usfs,Very low,69.52597349149816,34540.71769084012
2002,usfs,Low,75.60725370852003,7291.619448746364
2002,usfs,Moderate,676.5524941812912,31792.869732641975
2002,usfs,High,3200.8190957656443,51513.77953636148
2003,blm,Very low,0.0,14.149117083596616
2003,blm,Low,0.0,3.9708201503140312
2003,blm,Moderate,0.0,17.629910786563645
2003,blm,High,0.2764274291992187,67.04940997314453
2003,nonfed_public,Very low,20.94131915424422,83.4384644216739
2003,nonfed_public,Low,12.20358738128064,44.46929261283126
2003,nonfed_public,Moderate,52.08868493700215,232.4988629684628
2003,nonfed_public,High,14.387950740464154,171.40746875380574
2003,other_fed,Very low,0.0,0.0
2003,other_fed,Low,0.0,0.0
2003,other_fed,Moderate,0.0,0.0
2003,other_fed,High,0.0,0.0
2003,private,Very low,0.1649849701526118,80.37348311966241
2003,private,Low,0.0,18.354826298469096
2003,private,Moderate,0.0,109.77359519550399
2003,private,High,0.0,225.11515667679132
2003,tribal,Very low,0.0,0.0
2003,tribal,Low,0.0,0.0
2003,tribal,Moderate,0.0,0.0
2003,tribal,High,0.0,0.0
2003,usfs,Very low,23.19882795309628,4505.177103079141
2003,usfs,Low,5.750129130500345,1125.7047737736243
2003,usfs,Moderate,92.75793477658739,4559.524315208788
2003,usfs,High,736.9552258031509,7379.166061672388
2004,blm,Very low,14.469312543251187,880.2307768604708
2004,blm,Low,15.993612978587432,237.0250312885599
2004,blm,Moderate,119.22384631855087,895.1867170355107
2004,blm,High,81.09637239379884,1551.9972510728307
2004,nonfed_public,Very low,0.1232525512695312,27.363642937251075
2004,nonfed_public,Low,0.1232357849121093,15.791613744782092
2004,nonfed_public,Moderate,30.130840307617188,198.27614486739813
2004,nonfed_public,High,32.15450811767578,399.53748919725604
2004,other_fed,Very low,0.0,0.0
2004,other_fed,Low,0.0,0.0
2004,other_fed,Moderate,0.0,0.0
2004,other_fed,High,0.0,0.0
2004,private,Very low,212.26332931087717,1038.5678573350147
2004,private,Low,69.5680537097886,324.72107255131743
2004,private,Moderate,391.8953159551643,1867.1540970455153
2004,private,High,386.992603729655,3266.5236806320368
2004,tribal,Very low,1.7184044921875,113.34307957787615
2004,tribal,Low,1.2090969970703127,104.17884799278109
2004,tribal,Moderate,61.91933017578125,1085.3548868196856
2004,tribal,High,265.0513655395508,1579.736548061834
2004,usfs,Very low,39.48704213742724,3356.76705071773
2004,usfs,Low,16.754659684747438,1130.1915473903039
2004,usfs,Moderate,183.81073527257584,6438.526349072623
2004,usfs,High,646.631265359533,8986.241695012373
2005,blm,Very low,7.68816551353305,615.641781795319
2005,blm,Low,5.298451090375115,112.15348754688938
2005,blm,Moderate,25.051965132554002,502.5707426794913
2005,blm,High,31.087250536439186,490.1764283490349
2005,nonfed_public,Very low,9.13643723754883,44.23847467502967
2005,nonfed_public,Low,4.152930444335937,18.918819388691027
2005,nonfed_public,Moderate,23.68296382446289,94.6546597907332
2005,nonfed_public,High,28.88813802490235,251.56341829604204
2005,other_fed,Very low,0.0,2.2384436523437503
2005,other_fed,Low,0.0,0.4976140686035156
2005,other_fed,Moderate,0.0,2.177012048339844
2005,other_fed,High,0.0,0.0
2005,private,Very low,100.35137170529833,784.2153467232499
2005,private,Low,60.59965774842505,322.6837699975106
2005,private,Moderate,418.8262523802035,2224.562322836818
2005,private,High,553.9983703496239,4668.978436074769
2005,tribal,Very low,0.0,2.6856996469774437
2005,tribal,Low,0.0,0.4565399926757812
2005,tribal,Moderate,0.0,6.084109416958679
2005,tribal,High,0.0,7.277691426978019
2005,usfs,Very low,256.8420746487966,2838.337708070786
2005,usfs,Low,69.09410140280332,920.0790807652371
2005,usfs,Moderate,143.23552123762545,4305.760745175351
2005,usfs,High,69.46063762207031,4721.401998419143
2006,blm,Very low,0.286061125272863,206.8453390234375
2006,blm,Low,0.13278772583007808,101.85185248355641
2006,blm,Moderate,11.443029371170345,1006.9492292474247
2006,blm,High,27.622216284179686,1532.3167602769083
2006,nonfed_public,Very low,3.353308127249924,41.6937711565803
2006,nonfed_public,Low,0.0596077453613281,13.58808465817919
2006,nonfed_public,Moderate,0.4768519165039062,112.05662702696559
2006,nonfed_public,High,8.561807501220704,203.60168956183938
2006,other_fed,Very low,0.0,0.6557721496582032
2006,other_fed,Low,0.0,0.594057454403148
2006,other_fed,Moderate,0.119229931640625,3.7298410000670192
2006,other_fed,High,0.0596152770996093,0.5365425354003907
2006,private,Very low,67.52338985914044,1155.9128622374767
2006,private,Low,73.37461118616442,430.8878990805712
2006,private,Moderate,634.1672108100443,2718.2206225894943
2006,private,High,232.85718332667932,1816.0426613027776
2006,tribal,Very low,0.0112566639619715,5.495699760359223
2006,tribal,Low,0.0,0.6445992450070848
2006,tribal,Moderate,0.0,1.5727399009554994
2006,tribal,High,0.0,1.4038973571777345
2006,usfs,Very low,177.39400263480397,21455.11974049244
2006,usfs,Low,45.64824250636681,4290.29169620311
2006,usfs,Moderate,278.92088651067996,14260.929241131256
2006,usfs,High,1192.8899789983054,15431.373157909416
2007,blm,Very low,14.146260342993644,490.4673489838724
2007,blm,Low,5.1421561195762475,278.3245053437118
2007,blm,Moderate,23.54453797956878,2235.6364415792787
2007,blm,High,78.13122274780274,3910.543125967252
2007,nonfed_public,Very low,37.15289328376321,533.6142339740348
2007,nonfed_public,Low,14.987307435925054,285.31152043871117
2007,nonfed_public,Moderate,30.328903792198034,1437.3330047078687
2007,nonfed_public,High,14.29856795654297,2365.975087790958
2007,other_fed,Very low,0.0,0.0
2007,other_fed,Low,0.0,0.0
2007,other_fed,Moderate,0.0,0.0
2007,other_fed,High,0.0,0.0
2007,private,Very low,620.8937554686781,2171.953398693607
2007,private,Low,173.533437437433,588.2640388635733
2007,private,Moderate,1037.423295400319,3375.9800493282546
2007,private,High,3436.0469211985874,7737.62566277576
2007,tribal,Very low,109.41669537746058,1394.2437849842745
2007,tribal,Low,35.159295517506315,418.5932602293485
2007,tribal,Moderate,116.67143576559629,1738.4645612512445
2007,tribal,High,118.55190700683595,1889.0604835266113
2007,usfs,Very low,91.1576170647595,16352.474309249332
2007,usfs,Low,30.43141115667605,5864.032570756764
2007,usfs,Moderate,386.47994863111313,26611.616664804336
2007,usfs,High,1772.4442114190315,29165.47470964485
2008,blm,Very low,3.975854317890242,4513.348187003845
2008,blm,Low,4.043049680678424,1373.0802343488149
2008,blm,Moderate,98.58088402161843,6091.3022232245485
2008,blm,High,527.4288290602022,10903.862951796851
2008,nonfed_public,Very low,2.861401717313879,705.457609603032
2008,nonfed_public,Low,1.1379955305271523,251.93452542987905
2008,nonfed_public,Moderate,4.923319605114507,677.5054078426347
2008,nonfed_public,High,1.4938658935546876,269.1526877318618
2008,other_fed,Very low,1.1624453109920727,14.166278302696078
2008,other_fed,Low,0.0670037170410156,7.895612248176126
2008,other_fed,Moderate,0.2034134948730468,24.64425153593176
2008,other_fed,High,0.0,4.285343659356809
2008,private,Very low,1471.2484114639822,15169.4744822955
2008,private,Low,578.644078521154,4921.4216866704
2008,private,Moderate,2496.531675019627,19928.5815649594
2008,private,High,2505.457529714954,16935.160088282566
2008,tribal,Very low,0.0,6.290233976045497
2008,tribal,Low,0.0,3.2803283447265628
2008,tribal,Moderate,0.0,8.663859200894226
2008,tribal,High,0.0,1.6992758997539446
2008,usfs,Very low,120.21850372170843,55788.44017630332
2008,usfs,Low,50.80188426305435,14316.128421357591
2008,usfs,Moderate,405.48820718797873,35911.374564754835
2008,usfs,High,1490.2853476854991,25213.25931045389
2009,blm,Very low,0.1821659363271676,91.78464396455655
2009,blm,Low,0.2725345764160156,49.81046408286899
2009,blm,Moderate,6.387701879882813,479.6667897956878
2009,blm,High,12.269441467285157,1148.368762801059
2009,nonfed_public,Very low,2.4178282836914065,232.63758778530942
2009,nonfed_public,Low,2.66432985380285,129.5614730142272
2009,nonfed_public,Moderate,48.97243886493758,733.8064613635495
2009,nonfed_public,High,70.91862866261201,744.6344580074535
2009,other_fed,Very low,0.0,0.0
2009,other_fed,Low,0.0,0.0
2009,other_fed,Moderate,0.0,0.0
2009,other_fed,High,0.0,0.0
2009,private,Very low,57.070102967026656,847.7642537171367
